ID;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_depto_ubicacion;cole_genero;cole_jornada;cole_naturaleza;estu_genero;estu_nacionalidad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;desemp_ingles;Respuesta
9582;TI;URBANO;N;Region Caribe;MIXTO;TARDE;NO OFICIAL;M;COLOMBIA;Tres;Primaria completa;No sabe;Estrato 4;5 a 6;No;No;Si;Si;A-;punt_matematicas
9583;CC;URBANO;N;;MIXTO;NOCHE;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;5 a 6;No;No;Si;Si;A1;punt_sociales_ciudadanas
9584;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;No;Si;Si;Si;A-;punt_lectura_critica
9585;CC;URBANO;;Region Andina;MIXTO;MANANA;NO OFICIAL;F;VENEZUELA;Tres;Primaria completa;Primaria completa;Estrato 3;5 a 6;No;No;Si;Si;A1;punt_matematicas
9586;TI;RURAL;;Region Andina;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;Cinco;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 1;7 a 8;No;No;Si;Si;A-;punt_ingles
9587;CC;URBANO;N;Region Caribe;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;;;;3 a 4;No;No;;Si;A-;punt_matematicas
9588;TI;RURAL;N;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Dos;;;;3 a 4;No;Si;;No;A-;punt_ingles
9589;CC;URBANO;;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
9590;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Cuatro;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 3;3 a 4;No;Si;Si;No;A-;punt_ingles
9591;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Tecnica o tecnologica completa;Ninguno;Estrato 2;3 a 4;No;No;No;Si;A-;punt_sociales_ciudadanas
9592;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cuatro;Tecnica o tecnologica completa;Primaria incompleta;Estrato 3;3 a 4;No;Si;Si;Si;A-;punt_ingles
9593;CC;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 2;3 a 4;Si;Si;Si;Si;;punt_matematicas
9594;CC;URBANO;N;Region Pacifica;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Dos;Tecnica o tecnologica incompleta;Primaria incompleta;Estrato 1;5 a 6;No;No;No;Si;A-;punt_ingles
9595;CC;URBANO;N;Region Orinoquia;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cinco;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;5 a 6;No;Si;Si;No;A1;punt_matematicas
9596;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;;;;3 a 4;;Si;;Si;A2;punt_matematicas
9597;Otros;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cinco;Primaria completa;Secundaria (Bachillerato) completa;Estrato 3;7 a 8;No;Si;Si;Si;B1;punt_matematicas
9598;TI;RURAL;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;;;;;;;;;A-;punt_matematicas
9599;TI;URBANO;;;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Cuatro;Educacion profesional completa;Tecnica o tecnologica completa;Estrato 2;5 a 6;Si;Si;Si;Si;A2;punt_sociales_ciudadanas
9600;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;;;;3 a 4;No;No;;Si;A1;punt_c_naturales
9601;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 1;3 a 4;No;No;Si;Si;A-;punt_ingles
9602;TI;URBANO;;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Ninguno;Estrato 1;7 a 8;Si;Si;Si;No;A-;punt_matematicas
9603;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Cuatro;Educacion profesional incompleta;Educacion profesional incompleta;Estrato 3;5 a 6;Si;Si;Si;Si;A-;punt_ingles
9604;TI;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;5 a 6;No;Si;Si;Si;A1;punt_sociales_ciudadanas
9605;TI;RURAL;N;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;5 a 6;No;No;No;Si;A-;punt_sociales_ciudadanas
9606;TI;URBANO;N;Region Andina;MIXTO;MANANA;NO OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;Si;Si;Si;A-;punt_matematicas
9607;CC;RURAL;;Region Caribe;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Uno;Secundaria (Bachillerato) incompleta;Educacion profesional completa;Sin Estrato;3 a 4;No;No;No;No;A1;punt_matematicas
9608;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Seis o mas;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Si;Si;Si;Si;A-;punt_ingles
9609;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;No;No;No;A-;punt_matematicas
9610;TI;URBANO;;;MIXTO;SABATINA;NO OFICIAL;M;COLOMBIA;Seis o mas;Secundaria (Bachillerato) completa;Tecnica o tecnologica incompleta;Estrato 2;3 a 4;No;Si;Si;Si;A-;punt_ingles
9611;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;F;VENEZUELA;Dos;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;3 a 4;No;No;Si;Si;A1;punt_matematicas
9612;TI;URBANO;N;Region Andina;MIXTO;SABATINA;NO OFICIAL;M;COLOMBIA;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;;No;No;No;No;A-;punt_sociales_ciudadanas
9613;TI;URBANO;;;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Educacion profesional completa;Estrato 3;5 a 6;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
9614;TI;URBANO;N;Region Andina;FEMENINO;MANANA;NO OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Educacion profesional completa;Estrato 2;3 a 4;No;Si;Si;Si;B1;punt_sociales_ciudadanas
9615;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;;;;;;;;;A-;punt_sociales_ciudadanas
